Ranking,Sin_HPO,PS_Sin_HPO,Ranking,Asthma,PS_Asthma,Ranking,Asthma_ARS,PS_A_Ab_Resp,Ranking,Asthma_ARP,PS_A_y_ARP,Ranking,Ab_Resp_system,PS_ARS,Ranking,Asthma_Ig_hypers,PS_A_y_Ighypers,Ranking,Asthma_Abnormality_Igsystem,PS_A_AIGS,Ranking,Ab_immune_system,PS_AIGS,Ranking,Decreased_T4,PS_Decreased_T4,Ranking,"Decreased_T4_Abnormal_circulating_T4_concentration
",PS_dT4_ACT4,Ranking,Increased_T4,PS_iT4,Ranking,HPO increased T4_Abnormal_T4,PS_dT4_ACT4,Ranking,Ab_endocrine_system,PS_AES,Ranking,all_HPOS,PS_allHPO,Ranking,Abnormality_of_face,PS_AOF
1,NA,0,"1,00",PTGER2,"0,92","1,00",PTGER2,1,"1,00",PTGER2,1,"1,00",PTGER2,1,"1,00",PTGER2,"0,93","1,00",PTGER2,1,"1,00",NA,0,"1,00",TRHR,"0,916","1,00",TRHR,"0,937","1,00",SECISBP2,"0,853","1,00",SECISBP2,"0,889","1,00",TG,"0,578","1,00",SECISBP2,"0,863","1,00",ADRB2,1
2,TRHR,0,"2,00",TBX21,"0,92","2,00",TBX21,1,"2,00",TBX21,1,"2,00",TBX21,1,"2,00",TBX21,"0,93","2,00",TBX21,1,"2,00",TRHR,0,"2,00",SECISBP2,"0,818","2,00",SECISBP2,"0,998","2,00",TRHR,"0,789","2,00",TRHR,"0,843","2,00",TRHR,"0,556","2,00",TRHR,"0,791","2,00",SECISBP2,1
3,PTGER2,0,"3,00",NA,0,"3,00",SECISBP2,"0,536","3,00",SECISBP2,"0,532","3,00",SECISBP2,"0,541","3,00",NA,0,"3,00",SECISBP2,"0,526","3,00",PTGER2,0,"3,00",TG,"0,742","3,00",TG,"0,996","3,00",TG,"0,658","3,00",TG,"0,708","3,00",PTGER2,"0,502","3,00",TG,"0,777","3,00",NA,0
4,ADRB2,0,"4,00",TRHR,"0,501","4,00",NA,0,"4,00",NA,0,"4,00",NA,0,"4,00",TRHR,"0,501","4,00",NA,0,"4,00",ADRB2,0,"4,00",IYD,"0,742","4,00",IYD,"0,84","4,00",IYD,"0,644","4,00",IYD,"0,688","4,00",NA,0,"4,00",PTGER2,"0,667","4,00",NA,0
5,NA,0,"5,00",NA,0,"5,00",TRHR,"0,502","5,00",TRHR,"0,502","5,00",TRHR,"0,502","5,00",NA,0,"5,00",TRHR,"0,502","5,00",NA,0,"5,00",PTGER2,"0,503","5,00",PTGER2,"0,503","5,00",PTGER2,"0,503","5,00",PTGER2,"0,503","5,00",NA,0,"5,00",TBX21,"0,966","5,00",SLC5A5,1
6,SECISBP2,0,"6,00",SECISBP2,"0,5","6,00",NA,0,"6,00",NA,0,"6,00",NA,0,"6,00",SECISBP2,"0,5","6,00",NA,0,"6,00",SECISBP2,0,"6,00",NA,0,"6,00",NA,0,"6,00",NA,0,"6,00",NA,0,"6,00",SECISBP2,"0,5","6,00",IYD,"0,777","6,00",NA,0
7,NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",NA,0,"7,00",PTGER2,"0,504"
8,TG,0,"8,00",HNMT,"0,5","8,00",HNMT,"0,501","8,00",HNMT,"0,501","8,00",HNMT,"0,501","8,00",HNMT,"0,5","8,00",HNMT,"0,5","8,00",TG,0,"8,00",NA,0,"8,00",NA,0,"8,00",NA,0,"8,00",NA,0,"8,00",TBX21,"0,502","8,00",NA,0,"8,00",TRHR,"0,502"
9,NA,0,"9,00",NA,0,"9,00",NA,0,"9,00",NA,0,"9,00",NA,0,"9,00",NA,0,"9,00",NA,0,"9,00",NA,0,"9,00",HNMT,"0,5","9,00",HNMT,"0,5","9,00",HNMT,"0,5","9,00",HNMT,"0,5","9,00",HNMT,"0,5","9,00",NA,0,"9,00",NA,
10,HNMT,0,"10,00",NA,0,"10,00",NA,0,"10,00",NA,0,"10,00",NA,0,"10,00",NA,0,"10,00",NA,0,"10,00",HNMT,0,"10,00",TBX21,"0,5","10,00",TBX21,"0,5","10,00",TBX21,"0,5","10,00",TBX21,"0,5","10,00",NA,0,"10,00",HNMT,0.5,"10,00",HNMT,"0,517"
11,TBX21,0,"11,00",NA,0,"11,00",TG,"0,388","11,00",NA,,"11,00",NA,0,"11,00",NA,0,"11,00",TG,"0,388","11,00",TBX21,0,"11,00",NA,0,"11,00",NA,0,"11,00",NA,0,"11,00",NA,0,"11,00",IYD,"0,599","11,00",NA,0,"11,00",TBX21,"0,517"
12,NA,0,"12,00",NA,0,"12,00",NA,0,"12,00",NA,,"12,00",NA,0,"12,00",NA,0,"12,00",NA,0,"12,00",NA,0,"12,00",NA,0,"12,00",NA,0,"12,00",NA,0,"12,00",NA,0,"12,00",NA,0,"12,00",NA,0,"12,00",NA,0
13,NA,0,"13,00",IYD,"0,5","13,00",NA,0,"13,00",IYD,"0,5","13,00",IYD,"0,5","13,00",IYD,"0,5","13,00",NA,0,"13,00",NA,0,"13,00",SLC5A5,"0,742","13,00",SLC5A5,"0,766","13,00",NA,0,"13,00",NA,0,"13,00",NA,0,"13,00",NA,0,"13,00",NA,0
